source	section	disposition	target_or_reason
ROC_TEMPLATE.md	Purpose	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended source shape	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Why the templ-style declaration	migrated	knowledge/decisions/pure-render-components.md
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: tagged HTML template literals	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Component semantics	migrated	knowledge/decisions/pure-render-components.md
ROC_TEMPLATE.md	Separate template syntax from the component flow model	migrated	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_TEMPLATE.md	Names and resolution	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Props and attributes	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Expressions	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Control flow	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Styles	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Dedicated implementation package	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Parsing strategy	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Lowering contract	migrated summary	knowledge/decisions/pure-render-components.md
ROC_TEMPLATE.md	Tooling contract	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Relationship to the block-format spike	not migrated	Historical comparison remains in the source report.
ROC_TEMPLATE.md	Proof of concept	not migrated	Historical implementation proposal remains in the source report.
ROC_TEMPLATE.md	Open decisions	retained for phase 3	Atomic decisions require human contradiction review.
ROC_TEMPLATE.md	Recommendation	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Primary sources	not migrated	Bibliography remains attached to the retained report.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	Executive summary	migrated summary	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	1. What exists today	migrated summary	knowledge/architecture/system-overview.md; knowledge/status/implementation.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	2. Proposed programming model	migrated current boundary	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	3. Compilation architecture	migrated summary	knowledge/decisions/pure-render-components.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	5. Roc package for Datastar	retained for phase 3	Package API proposals require current-code review.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	6. Language server and editor implications	retained for priority 2	knowledge/architecture/template-language.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	7. Development workflow and hot reload	not migrated	Detailed workflow proposal remains in the source report.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	8. Security and correctness requirements	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	9. Repository changes implied by the design	not migrated	Historical proposed file layout is not current architecture.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	10. File-format and compilation alternatives	not migrated	Rejected alternatives remain in the source report.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	11. Delivery plan and rough effort	not migrated	Historical estimates are not canonical status.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	12. Decisions to make before freezing a specification	retained for phase 3	Atomic decisions require human review.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	13. Recommended proof of concept	not migrated	Historical proof-of-concept plan remains in the source report.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	Conclusion	migrated summary	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	Primary sources	not migrated	Bibliography remains attached to the retained report.
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Executive summary	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	What was audited	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Priority table	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Datastar example impact	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Recommended sequence	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Suggested acceptance tests	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Conclusion	retained for priority 2	knowledge/audits/rocci-syntax.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	Executive summary	migrated current boundary	knowledge/decisions/server-owned-state.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	1. What is wrong with the current handler	retained for priority 2	knowledge/case-studies/snake-input.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	2. The idiomatic Datastar baseline	retained for priority 2	knowledge/case-studies/snake-input.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	3. Recommended production setup: a client input island	retained for priority 2	knowledge/research/client-islands.md; knowledge/case-studies/snake-input.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	4. Proposed Rocci ergonomics	retained for phase 3	Proposed client syntax requires an atomic decision review.
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	5. Is Snake a bad Datastar demo?	retained for priority 2	knowledge/case-studies/snake-input.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	6. When an SPA or richer client becomes justified	retained for priority 2	knowledge/research/client-islands.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	7. Recommendation	retained for priority 2	knowledge/case-studies/snake-input.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	Final verdict	retained for priority 2	knowledge/case-studies/snake-input.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	Executive summary	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	1. What Rocket actually provides	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	2. What Rocket Flow demonstrates	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	3. Rocci's current fit and gaps	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	4. Recommended programming model	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	5. Runtime design	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	6. Compiler and tooling changes	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	7. Morphing, lifecycle, and failure cases	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	8. Options considered	not migrated	Alternative analysis remains in the source report.
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	9. Staged implementation plan	not migrated	Illustrative plan is not approved implementation status.
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	10. Decision	retained for phase 3	Proposed island decision requires human approval and licensing review.
ROCDOWN_FORMAT_REPORT.md	Executive decision	migrated	knowledge/decisions/markdown-first-explicit-islands.md
ROCDOWN_FORMAT_REPORT.md	1. What exists in Rocci today	migrated summary	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	2. Goals and non-goals	migrated summary	knowledge/decisions/markdown-first-explicit-islands.md
ROCDOWN_FORMAT_REPORT.md	3. Proposed source form	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	4. Document grammar	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	5. Directive semantics	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	6. Markdown profile	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	7. Layout and generated page contract	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	8. Static generation and routing	migrated current implementation	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_FORMAT_REPORT.md	9. Compiler architecture	migrated summary	knowledge/architecture/rocdown-format.md; knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_FORMAT_REPORT.md	10. Source maps, diagnostics, and editor support	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	11. Security and correctness boundaries	migrated summary	knowledge/decisions/markdown-first-explicit-islands.md
ROCDOWN_FORMAT_REPORT.md	12. Bravo-to-Rocdown migration	not migrated	Historical migration guidance remains in the source report.
ROCDOWN_FORMAT_REPORT.md	13. Alternatives considered	not migrated	Rejected alternatives remain in the source report.
ROCDOWN_FORMAT_REPORT.md	14. Implementation plan	not migrated	Historical plan is superseded by current code and the Rocs plan.
ROCDOWN_FORMAT_REPORT.md	15. Acceptance tests for v1	retained as evidence	The source report retains detailed test scenarios.
ROCDOWN_FORMAT_REPORT.md	16. Recommendation	migrated	knowledge/decisions/markdown-first-explicit-islands.md
ROCDOWN_FORMAT_REPORT.md	References	not migrated	Bibliography remains attached to the retained report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	Executive recommendation	migrated current boundary	knowledge/architecture/rocs-documentation-compiler.md; knowledge/decisions/rust-catalog-rocci-shell.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	1. What “state of the art” means in 2026	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	2. Generator landscape	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	3. Prominent documentation sites and what they teach	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	6. Responsive documentation site design	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	7. Validation, testing, and governance	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	8. Versioning, localization, and multi-product growth	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	9. Proposed delivery phases	not migrated	Superseded by the active implementation plan.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	10. Decisions and rejected directions	retained for phase 3	Atomic decisions require comparison with shipped behavior.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	11. Release acceptance checklist	retained as evidence	Detailed acceptance criteria remain in the source report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	12. Final assessment	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	Sources and further reading	not migrated	Bibliography remains attached to the retained report.
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	1. Decision summary	migrated	knowledge/decisions/rust-catalog-rocci-shell.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	2. Why not Roc-first for static content	migrated	knowledge/decisions/rust-catalog-rocci-shell.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	3. Current repository baseline	migrated	knowledge/architecture/rocs-documentation-compiler.md; knowledge/status/implementation.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	4. Architecture	migrated	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	5. Repository layout	migrated summary	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	6. Core contracts	migrated	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	7. Rust / Rocci / Roc budget	migrated	knowledge/decisions/rust-catalog-rocci-shell.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	8. Command behavior	retained for priority 2	knowledge/plans/rocs.md
